dataset,condition,layer,relative_depth,mean,sem,count,metric
Baseline 200,AuriStream-MTP 7B 40Pred,33,0.34375,0.0913730710965243,0.0201814127062012,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,34,0.3541666666666667,0.0931615697980468,0.0192206385683883,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,35,0.3645833333333333,0.1004808788248909,0.0190948420717377,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,36,0.375,0.101577799463636,0.0180015294617082,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,37,0.3854166666666667,0.1005112022769749,0.0167096779628454,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,38,0.3958333333333333,0.0979566277397655,0.0169442766010615,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,39,0.40625,0.1020414855196077,0.0159153926196342,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,40,0.4166666666666667,0.0964699605567728,0.016857038669836,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,41,0.4270833333333333,0.0944698891792307,0.0168237392209967,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,42,0.4375,0.100663889145024,0.0159917313202036,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,43,0.4479166666666667,0.1064210983974998,0.0152005849359312,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,44,0.4583333333333333,0.1073077693649375,0.0156064856956638,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,45,0.46875,0.1086504180258819,0.0151836095203647,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,46,0.4791666666666667,0.116330468064452,0.0161085180312453,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,47,0.4895833333333333,0.1140239649136374,0.0143152837429336,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,48,0.5,0.125341760147934,0.0156595389754183,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,49,0.5104166666666666,0.1289350736251962,0.0150250274837074,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,50,0.5208333333333334,0.1392411350079578,0.0165437937677073,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,51,0.53125,0.1569036179237256,0.0151314681446772,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,52,0.5416666666666666,0.1666359341004159,0.0142697921635041,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,53,0.5520833333333334,0.176733829008109,0.0152240636817985,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,54,0.5625,0.1892486761106749,0.0181204296667145,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,55,0.5729166666666666,0.2097947020074727,0.0190775918918064,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,56,0.5833333333333334,0.2527914250011762,0.0228350912508218,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,57,0.59375,0.2854724465716131,0.025750167012558,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,58,0.6041666666666666,0.3256717569551228,0.0248986567454217,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,59,0.6145833333333334,0.3651988683308204,0.0256280559289345,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,60,0.625,0.4002323533366403,0.0221931162739681,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,61,0.6354166666666666,0.4421015462948609,0.0219425785686134,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,62,0.6458333333333334,0.4638023735962441,0.023374536963143,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,63,0.65625,0.4848699033872481,0.0223663454238048,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,64,0.6666666666666666,0.4827657502871386,0.0200190256917166,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,65,0.6770833333333334,0.4791296699378793,0.019638681385225,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,66,0.6875,0.46430254078874,0.0222623966479302,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,67,0.6979166666666666,0.4735154443985004,0.0239122172267163,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,68,0.7083333333333334,0.4815166079524137,0.0263435625087041,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,69,0.71875,0.4665461064789452,0.0291587157814128,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,70,0.7291666666666666,0.450283875202796,0.0303344258379142,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,71,0.7395833333333334,0.4306928403894501,0.0342846439717751,8,mean participant-level r_cv_norm in language fROIs
